"file","name","annotations","type","associated equipment","label x","label y"
"01_PID_B01_page001","25IIT10101","","instrument","C0125101","935.99","220.87"
"01_PID_B01_page001","25PDT10102","","instrument","C0125101","295.05","800.92"
"01_PID_B01_page001","25JIT10103","","instrument","C0125101","526.04","574.73"
"01_PID_B01_page001","25SIT10104","","instrument","C0125101","765.40","905.25"
"01_PID_B01_page001","25PIT10121","","instrument","C0125101","883.71","916.36"
"01_PID_B01_page001","25TIT10123","","instrument","C0125101","643.76","790.95"
"01_PID_B01_page001","25FIT10125","","instrument","C0125101","747.85","573.12"
"01_PID_B01_page001","25PIT10122","","instrument","C0125101","473.98","635.17"
"01_PID_B01_page001","25TIT10124","","instrument","C0125101","950.78","955.12"
"01_PID_B01_page001","25FIT10126","","instrument","C0125101","578.83","717.20"
"01_PID_B01_page001","25IIT10201","","instrument","C0125102","180.39","550.83"
"01_PID_B01_page001","25PDT10202","","instrument","C0125102","926.00","483.92"
"01_PID_B01_page001","25JIT10203","","instrument","C0125102","698.90","214.83"
"01_PID_B01_page001","25SIT10204","","instrument","C0125102","957.69","320.52"
"01_PID_B01_page001","25PIT10221","","instrument","C0125102","372.36","946.51"
"01_PID_B01_page001","25TIT10223","","instrument","C0125102","555.64","114.36"
"01_PID_B01_page001","25FIT10225","","instrument","C0125102","585.52","517.01"
"01_PID_B01_page001","25PIT10222","","instrument","C0125102","913.68","939.53"
"01_PID_B01_page001","25TIT10224","","instrument","C0125102","471.19","473.66"
"01_PID_B01_page001","25FIT10226","","instrument","C0125102","456.66","152.22"
"01_PID_B01_page001","26IIT10301","","instrument","C0126103","366.94","403.19"
"01_PID_B01_page001","26PDT10302","","instrument","C0126103","729.69","466.58"
"01_PID_B01_page001","26JIT10303","","instrument","C0126103","912.53","953.52"
"01_PID_B01_page001","26SIT10304","","instrument","C0126103","106.66","513.43"
"01_PID_B01_page001","26PIT10321","","instrument","C0126103","785.64","771.47"
"01_PID_B01_page001","26TIT10323","","instrument","C0126103","813.35","933.23"
"01_PID_B01_page001","26FIT10325","","instrument","C0126103","240.78","116.87"
"01_PID_B01_page001","26PIT10322","","instrument","C0126103","932.77","954.28"
"01_PID_B01_page001","26TIT10324","","instrument","C0126103","832.21","703.46"
"01_PID_B01_page001","26FIT10326","","instrument","C0126103","525.68","513.40"
"01_PID_B01_page001","26IIT10401","","instrument","C0126104","601.80","841.84"
"01_PID_B01_page001","26PDT10402","","instrument","C0126104","614.01","208.28"
"01_PID_B01_page001","26JIT10403","","instrument","C0126104","982.17","169.56"
"01_PID_B01_page001","26SIT10404","","instrument","C0126104","747.52","970.82"
"01_PID_B01_page001","26PIT10421","","instrument","C0126104","448.35","218.16"
"01_PID_B01_page001","26TIT10423","","instrument","C0126104","958.88","355.30"
"01_PID_B01_page001","26FIT10425","","instrument","C0126104","734.13","899.86"
"01_PID_B01_page001","26PIT10422","","instrument","C0126104","771.05","570.36"
"01_PID_B01_page001","26TIT10424","","instrument","C0126104","401.32","846.80"
"01_PID_B01_page001","26FIT10426","","instrument","C0126104","158.31","365.27"
"01_PID_B02_page001","27IIT10501","","instrument","C0227105","825.01","367.56"
"01_PID_B02_page001","27PDT10502","","instrument","C0227105","490.18","380.95"
"01_PID_B02_page001","27JIT10503","","instrument","C0227105","464.57","394.97"
"01_PID_B02_page001","27SIT10504","","instrument","C0227105","639.95","231.69"
"01_PID_B02_page001","27PIT10521","","instrument","C0227105","464.64","849.34"
"01_PID_B02_page001","27TIT10523","","instrument","C0227105","555.80","993.10"
"01_PID_B02_page001","27FIT10525","","instrument","C0227105","533.15","332.67"
"01_PID_B02_page001","27PIT10522","","instrument","C0227105","375.85","256.60"
"01_PID_B02_page001","27TIT10524","","instrument","C0227105","889.21","429.09"
"01_PID_B02_page001","27FIT10526","","instrument","C0227105","613.58","112.43"
"01_PID_B01_page001","25IIT20101","","instrument","P0125201","996.96","410.08"
"01_PID_B01_page001","25PDT20102","","instrument","P0125201","580.69","237.21"
"01_PID_B01_page001","25JIT20103","","instrument","P0125201","147.05","592.21"
"01_PID_B01_page001","25SIT20104","","instrument","P0125201","958.10","857.56"
"01_PID_B01_page001","25PIT20121","","instrument","P0125201","285.17","908.57"
"01_PID_B01_page001","25TIT20123","","instrument","P0125201","336.87","225.63"
"01_PID_B01_page001","25FIT20125","","instrument","P0125201","693.61","996.60"
"01_PID_B01_page001","25PIT20122","","instrument","P0125201","423.48","390.03"
